block,time,type,baseline_kw,delta_soc,soc_start,soc_end
1,00:00-03:00,Charge MAX,2000,72.8109,5.0,77.8109
2,03:00-06:00,Charge 103kW,102.56367663344406,-4.291425000000001,77.8109,73.519475
3,06:00-09:00,Charge 103kW,102.56367663344406,-4.291425000000001,73.519475,69.22805
4,09:00-12:00,Charge 103kW,102.56367663344406,-4.291425000000001,69.22805,64.93662499999999
5,12:00-15:00,Charge 103kW,102.56367663344406,-4.291425000000001,64.93662499999999,60.64519999999999
6,15:00-18:00,Charge 103kW,102.56367663344406,-4.291425000000001,60.64519999999999,56.353774999999985
7,18:00-21:00,Charge 103kW,102.56367663344406,-4.291425000000001,56.353774999999985,52.06234999999998
8,21:00-24:00,JEPX Discharge,JEPX -950,-47.062349999999995,52.06234999999998,4.999999999999986
