block,time,type,baseline,delta_soc,soc_start,soc_end
1,00:00-03:00,BASELINE,2000.0,72.8109,5.0,77.8109
2,03:00-06:00,BASELINE,217.15147040728448,0.3648500000000041,77.8109,78.17575000000001
3,06:00-09:00,BASELINE,217.15147040728448,0.3648500000000041,78.17575000000001,78.54060000000001
4,09:00-12:00,BASELINE,217.15147040728448,0.3648500000000041,78.54060000000001,78.90545000000002
5,12:00-15:00,BASELINE,217.15147040728448,0.3648500000000041,78.90545000000002,79.27030000000002
6,15:00-18:00,BASELINE,217.15147040728448,0.3648500000000041,79.27030000000002,79.63515000000002
7,18:00-21:00,BASELINE,217.15147040728448,0.3648500000000041,79.63515000000002,80.00000000000003
8,21:00-24:00,JEPX,,-75.0,80.00000000000003,5.000000000000028
