block,time_range,soc_start,soc_target,soc_predicted,soc_actual_start,soc_actual_end,baseline_optimal,baseline_actual,duration_hours
Block 1,00:00-02:59,5.0,40.0,39.99999999999999,5.0,5.0,1069.4992001968744,208.17275747508307,3.0
Block 2,03:00-05:59,39.99999999999999,44.99999999999999,44.99999999999999,5.0,11.0,331.21939214962475,355.8287190845331,3.0
Block 3,06:00-08:59,44.99999999999999,49.99999999999999,49.99999999999999,11.0,80.0,331.21939214962475,1906.216315983758,3.0
Block 4,09:00-11:59,49.99999999999999,54.99999999999999,54.99999999999999,81.0,69.0,331.21939214962475,0.0,3.0
Block 5,12:00-14:59,54.99999999999999,59.99999999999999,59.99999999999999,69.0,83.0,331.21939214962475,552.7033345637997,3.0
Block 6,15:00-17:59,59.99999999999999,65.0,65.0,84.0,35.0,331.21939214962487,0.0,3.0
Block 7,18:00-20:59,65.0,70.0,70.0,32.0,34.0,331.21939214962475,257.3914113448997,3.0
Block 8,21:00-23:59,70.0,80.0,80.0,32.0,34.0,454.2660268241664,257.3914113448997,3.0
