block,time_range,soc_start,soc_target,soc_predicted,soc_actual_start,soc_actual_end,baseline_optimal,baseline_actual,duration_hours
Block 1,00:00-02:59,7.0,40.0,40.0,7.0,5.0,1020.280546327058,158.95410360526643,3.0
Block 2,03:00-05:59,40.0,45.0,45.0,7.0,9.0,331.21939214962475,257.3914113448997,3.0
Block 3,06:00-08:59,45.0,50.0,50.0,12.0,83.0,331.21939214962475,1955.4349698535748,3.0
Block 4,09:00-11:59,50.0,55.0,55.0,84.0,74.0,331.21939214962475,0.0,3.0
Block 5,12:00-14:59,55.0,60.0,60.0,73.0,90.0,331.21939214962475,626.5313153685247,3.0
Block 6,15:00-17:59,60.0,65.0,65.0,90.0,58.0,331.21939214962475,0.0,3.0
Block 7,18:00-20:59,65.0,70.0,70.0,57.0,40.0,331.21939214962475,0.0,3.0
Block 8,21:00-23:59,70.0,80.0,80.0,39.0,40.0,454.2660268241664,232.7820844099914,3.0
