block,start_hour,end_hour,duration_hours,soc_start,baseline_kw,soc_change,soc_end,status
1,0,3,3,5.0,2076.0,85.0,90.0,90%到達 ✓
2,3,6,3,90.0,0.0,-9.1,80.9,放電中 ↓
3,6,9,3,80.9,400.0,9.1,90.0,90%到達 ✓
4,9,12,3,90.0,0.0,-9.1,80.9,放電中 ↓
5,12,15,3,80.9,400.0,9.1,90.0,90%到達 ✓
6,15,18,3,90.0,0.0,-9.1,80.9,放電中 ↓
7,18,21,3,80.9,400.0,9.1,90.0,90%到達 ✓
8,21,24,3,90.0,0.0,-9.1,80.9,放電中 ↓
