block,time,type,baseline,delta_soc,soc_start,soc_end
1,00:00-03:00,Free,,-8.4591,5.0,-3.4590999999999994
2,03:00-06:00,Free,,-8.4591,-3.4590999999999994,-11.918199999999999
3,06:00-09:00,Baseline,2000.0,72.8109,-11.918199999999999,60.892700000000005
4,09:00-12:00,Baseline,308.0,4.056479999999999,60.892700000000005,64.94918
5,12:00-15:00,Baseline,308.0,4.056479999999999,64.94918,69.00565999999999
6,15:00-18:00,JEPX,,-47.062349999999995,69.00565999999999,21.943309999999997
7,18:00-21:00,Free,,-8.4591,21.943309999999997,13.484209999999997
8,21:00-24:00,Free,,-8.4591,13.484209999999997,5.025109999999998
