block,time,type,baseline,delta_soc,soc_start,soc_end
1,00:00-03:00,BASELINE,507.0002988275414,12.142857142857146,5.0,17.142857142857146
2,03:00-06:00,BASELINE,507.0002988275414,12.142857142857146,17.142857142857146,29.285714285714292
3,06:00-09:00,BASELINE,507.0002988275414,12.142857142857146,29.285714285714292,41.42857142857144
4,09:00-12:00,BASELINE,507.0002988275414,12.142857142857146,41.42857142857144,53.571428571428584
5,12:00-15:00,BASELINE,507.0002988275414,12.142857142857146,53.571428571428584,65.71428571428572
6,15:00-18:00,BASELINE,507.0002988275414,12.142857142857146,65.71428571428572,77.85714285714286
7,18:00-21:00,BASELINE,507.0002988275414,12.142857142857146,77.85714285714286,90.0
8,21:00-24:00,JEPX,,-85.0,90.0,5.0
